id,format,browser,blocker
101,desktop,ff,yes
102,desktop,ch,dk
103,desktop,ch,yes
104,desktop,ff,yes
105,mobile,ch,no
107,desktop,ch,yes
109,mobile,ff,yes
110,desktop,wa,yes
111,desktop,ch,yes
112,desktop,ed,no
113,desktop,sa,dk
114,mobile,sa,yes
115,desktop,br,dk
116,desktop,ch,yes
117,mobile,sa,yes
118,desktop,ch,yes
119,desktop,ff,yes
120,desktop,op,yes
122,desktop,ff,yes
123,desktop,br,dk
126,desktop,ch,no
128,desktop,ch,yes
129,desktop,ch,no
130,mobile,sa,no
131,desktop,sa,yes
132,desktop,ff,no
133,desktop,ff,yes
134,desktop,ch,yes
135,mobile,sa,no
137,desktop,ff,yes
138,desktop,ff,yes
139,desktop,ch,yes
140,desktop,ch,no
141,desktop,ch,no
143,desktop,pm,yes
146,desktop,ff,yes
147,desktop,ff,dk
148,desktop,ff,yes
150,mobile,ch,no
151,desktop,ff,yes
152,desktop,ch,yes
153,desktop,ff,yes
157,desktop,ch,yes
159,desktop,ch,no
160,desktop,sa,yes
161,desktop,ch,yes
162,desktop,ch,no
163,desktop,ff,yes
164,desktop,ch,yes
165,desktop,ch,no
167,desktop,ie,no
168,desktop,ch,yes
169,desktop,br,yes
170,desktop,ch,yes
171,mobile,sa,yes
172,desktop,ch,yes
173,desktop,ch,yes
174,desktop,ch,no
175,desktop,ff,yes
176,desktop,ch,yes
177,desktop,ch,yes
178,desktop,ff,yes
179,desktop,ch,yes
180,desktop,ff,yes
183,desktop,ch,yes
185,desktop,op,dk
186,desktop,ff,no
187,mobile,sa,no
189,desktop,ch,no
190,desktop,ff,yes
191,mobile,sa,no
193,desktop,ff,yes
194,desktop,ff,yes
195,mobile,ff,yes
197,desktop,ch,dk
198,desktop,ch,no
200,desktop,ch,dk
201,desktop,ch,yes
203,desktop,ff,yes
204,desktop,ff,yes
205,desktop,ff,yes
206,desktop,ch,no
207,desktop,ff,yes
208,desktop,ch,no
209,desktop,ff,no
211,desktop,ch,yes
212,desktop,ff,yes
